Time,   1.0000
    75,  EL1,      MATEL,   TAX3,   0,     0.8711,    0.0000, -1.785077e-04, -3.545313e-04, -1.785077e+01, -3.545313e+01,
    75,  EL1,      MATEL,   TAX3,   1,     0.8739,    0.0000, -1.796748e-04, -3.539552e-04, -1.796748e+01, -3.539552e+01,
    76,  EL1,      MATEL,   TAX3,   0,     0.8761,    0.0000, -1.795103e-04, -3.535313e-04, -1.795103e+01, -3.535313e+01,
    76,  EL1,      MATEL,   TAX3,   1,     0.8789,    0.0000, -1.806626e-04, -3.529649e-04, -1.806626e+01, -3.529649e+01,
    77,  EL1,      MATEL,   TAX3,   0,     0.8811,    0.0000, -1.804959e-04, -3.525482e-04, -1.804959e+01, -3.525482e+01,
    77,  EL1,      MATEL,   TAX3,   1,     0.8839,    0.0000, -1.816336e-04, -3.519914e-04, -1.816336e+01, -3.519914e+01,
    78,  EL1,      MATEL,   TAX3,   0,     0.8861,    0.0000, -1.814648e-04, -3.515817e-04, -1.814648e+01, -3.515817e+01,
    78,  EL1,      MATEL,   TAX3,   1,     0.8889,    0.0000, -1.825883e-04, -3.510342e-04, -1.825883e+01, -3.510342e+01,
    79,  EL1,      MATEL,   TAX3,   0,     0.8911,    0.0000, -1.824175e-04, -3.506314e-04, -1.824175e+01, -3.506314e+01,
    79,  EL1,      MATEL,   TAX3,   1,     0.8939,    0.0000, -1.835271e-04, -3.500931e-04, -1.835271e+01, -3.500931e+01,
    80,  EL1,      MATEL,   TAX3,   0,     0.8961,    0.0000, -1.833543e-04, -3.496970e-04, -1.833543e+01, -3.496970e+01,
    80,  EL1,      MATEL,   TAX3,   1,     0.8989,    0.0000, -1.844502e-04, -3.491676e-04, -1.844502e+01, -3.491676e+01,
    81,  EL1,      MATEL,   TAX3,   0,     0.9011,    0.0000, -1.842756e-04, -3.487781e-04, -1.842756e+01, -3.487781e+01,
    81,  EL1,      MATEL,   TAX3,   1,     0.9039,    0.0000, -1.853580e-04, -3.482575e-04, -1.853580e+01, -3.482575e+01,
    82,  EL1,      MATEL,   TAX3,   0,     0.9061,    0.0000, -1.851816e-04, -3.478744e-04, -1.851816e+01, -3.478744e+01,
    82,  EL1,      MATEL,   TAX3,   1,     0.9089,    0.0000, -1.862509e-04, -3.473623e-04, -1.862509e+01, -3.473623e+01,
    83,  EL1,      MATEL,   TAX3,   0,     0.9111,    0.0000, -1.860727e-04, -3.469855e-04, -1.860727e+01, -3.469855e+01,
    83,  EL1,      MATEL,   TAX3,   1,     0.9139,    0.0000, -1.871292e-04, -3.464818e-04, -1.871292e+01, -3.464818e+01,
    84,  EL1,      MATEL,   TAX3,   0,     0.9161,    0.0000, -1.869493e-04, -3.461111e-04, -1.869493e+01, -3.461111e+01,
    84,  EL1,      MATEL,   TAX3,   1,     0.9189,    0.0000, -1.879932e-04, -3.456156e-04, -1.879932e+01, -3.456156e+01,
    85,  EL1,      MATEL,   TAX3,   0,     0.9211,    0.0000, -1.878117e-04, -3.452510e-04, -1.878117e+01, -3.452510e+01,
    85,  EL1,      MATEL,   TAX3,   1,     0.9239,    0.0000, -1.888431e-04, -3.447635e-04, -1.888431e+01, -3.447635e+01,
    86,  EL1,      MATEL,   TAX3,   0,     0.9261,    0.0000, -1.886602e-04, -3.444047e-04, -1.886602e+01, -3.444047e+01,
    86,  EL1,      MATEL,   TAX3,   1,     0.9289,    0.0000, -1.896794e-04, -3.439250e-04, -1.896794e+01, -3.439250e+01,
    87,  EL1,      MATEL,   TAX3,   0,     0.9311,    0.0000, -1.894950e-04, -3.435720e-04, -1.894950e+01, -3.435720e+01,
    87,  EL1,      MATEL,   TAX3,   1,     0.9339,    0.0000, -1.905023e-04, -3.431000e-04, -1.905023e+01, -3.431000e+01,
    88,  EL1,      MATEL,   TAX3,   0,     0.9361,    0.0000, -1.903164e-04, -3.427526e-04, -1.903164e+01, -3.427526e+01,
    88,  EL1,      MATEL,   TAX3,   1,     0.9389,    0.0000, -1.913121e-04, -3.422882e-04, -1.913121e+01, -3.422882e+01,
    89,  EL1,      MATEL,   TAX3,   0,     0.9411,    0.0000, -1.911248e-04, -3.419463e-04, -1.911248e+01, -3.419463e+01,
    89,  EL1,      MATEL,   TAX3,   1,     0.9439,    0.0000, -1.921091e-04, -3.414892e-04, -1.921091e+01, -3.414892e+01,
    90,  EL1,      MATEL,   TAX3,   0,     0.9461,    0.0000, -1.919204e-04, -3.411527e-04, -1.919204e+01, -3.411527e+01,
    90,  EL1,      MATEL,   TAX3,   1,     0.9489,    0.0000, -1.928935e-04, -3.407028e-04, -1.928935e+01, -3.407028e+01,
    91,  EL1,      MATEL,   TAX3,   0,     0.9511,    0.0000, -1.927036e-04, -3.403716e-04, -1.927036e+01, -3.403716e+01,
    91,  EL1,      MATEL,   TAX3,   1,     0.9539,    0.0000, -1.936656e-04, -3.399287e-04, -1.936656e+01, -3.399287e+01,
    92,  EL1,      MATEL,   TAX3,   0,     0.9561,    0.0000, -1.934744e-04, -3.396027e-04, -1.934744e+01, -3.396027e+01,
    92,  EL1,      MATEL,   TAX3,   1,     0.9589,    0.0000, -1.944256e-04, -3.391667e-04, -1.944256e+01, -3.391667e+01,
    93,  EL1,      MATEL,   TAX3,   0,     0.9611,    0.0000, -1.942333e-04, -3.388458e-04, -1.942333e+01, -3.388458e+01,
    93,  EL1,      MATEL,   TAX3,   1,     0.9639,    0.0000, -1.951739e-04, -3.384165e-04, -1.951739e+01, -3.384165e+01,
    94,  EL1,      MATEL,   TAX3,   0,     0.9661,    0.0000, -1.949804e-04, -3.381006e-04, -1.949804e+01, -3.381006e+01,
    94,  EL1,      MATEL,   TAX3,   1,     0.9689,    0.0000, -1.959106e-04, -3.376780e-04, -1.959106e+01, -3.376780e+01,
    95,  EL1,      MATEL,   TAX3,   0,     0.9711,    0.0000, -1.957160e-04, -3.373669e-04, -1.957160e+01, -3.373669e+01,
    95,  EL1,      MATEL,   TAX3,   1,     0.9739,    0.0000, -1.966359e-04, -3.369507e-04, -1.966359e+01, -3.369507e+01,
    96,  EL1,      MATEL,   TAX3,   0,     0.9761,    0.0000, -1.964403e-04, -3.366444e-04, -1.964403e+01, -3.366444e+01,
    96,  EL1,      MATEL,   TAX3,   1,     0.9789,    0.0000, -1.973502e-04, -3.362346e-04, -1.973502e+01, -3.362346e+01,
    97,  EL1,      MATEL,   TAX3,   0,     0.9811,    0.0000, -1.971536e-04, -3.359329e-04, -1.971536e+01, -3.359329e+01,
    97,  EL1,      MATEL,   TAX3,   1,     0.9839,    0.0000, -1.980536e-04, -3.355294e-04, -1.980536e+01, -3.355294e+01,
