Time,   1.0000
    61,  EL1,      MATEL,   TAX2,   0,     0.8011,    0.0000, -1.631481e-04, -3.705593e-04, -1.631481e+01, -3.705593e+01,
    61,  EL1,      MATEL,   TAX2,   1,     0.8039,    0.0000, -1.631481e-04, -3.698145e-04, -1.631481e+01, -3.698145e+01,
    62,  EL1,      MATEL,   TAX2,   0,     0.8061,    0.0000, -1.644261e-04, -3.692744e-04, -1.644261e+01, -3.692744e+01,
    62,  EL1,      MATEL,   TAX2,   1,     0.8089,    0.0000, -1.644261e-04, -3.685434e-04, -1.644261e+01, -3.685434e+01,
    63,  EL1,      MATEL,   TAX2,   0,     0.8111,    0.0000, -1.656806e-04, -3.680131e-04, -1.656806e+01, -3.680131e+01,
    63,  EL1,      MATEL,   TAX2,   1,     0.8139,    0.0000, -1.656806e-04, -3.672956e-04, -1.656806e+01, -3.672956e+01,
    64,  EL1,      MATEL,   TAX2,   0,     0.8161,    0.0000, -1.669122e-04, -3.667750e-04, -1.669122e+01, -3.667750e+01,
    64,  EL1,      MATEL,   TAX2,   1,     0.8189,    0.0000, -1.669122e-04, -3.660705e-04, -1.669122e+01, -3.660705e+01,
    65,  EL1,      MATEL,   TAX2,   0,     0.8211,    0.0000, -1.681213e-04, -3.655595e-04, -1.681213e+01, -3.655595e+01,
    65,  EL1,      MATEL,   TAX2,   1,     0.8239,    0.0000, -1.681213e-04, -3.648678e-04, -1.681213e+01, -3.648678e+01,
    66,  EL1,      MATEL,   TAX2,   0,     0.8261,    0.0000, -1.693086e-04, -3.643659e-04, -1.693086e+01, -3.643659e+01,
    66,  EL1,      MATEL,   TAX2,   1,     0.8289,    0.0000, -1.693086e-04, -3.636867e-04, -1.693086e+01, -3.636867e+01,
    67,  EL1,      MATEL,   TAX2,   0,     0.8311,    0.0000, -1.704746e-04, -3.631939e-04, -1.704746e+01, -3.631939e+01,
    67,  EL1,      MATEL,   TAX2,   1,     0.8339,    0.0000, -1.704746e-04, -3.625268e-04, -1.704746e+01, -3.625268e+01,
    68,  EL1,      MATEL,   TAX2,   0,     0.8361,    0.0000, -1.716197e-04, -3.620428e-04, -1.716197e+01, -3.620428e+01,
    68,  EL1,      MATEL,   TAX2,   1,     0.8389,    0.0000, -1.716197e-04, -3.613875e-04, -1.716197e+01, -3.613875e+01,
    69,  EL1,      MATEL,   TAX2,   0,     0.8411,    0.0000, -1.727445e-04, -3.609121e-04, -1.727445e+01, -3.609121e+01,
    69,  EL1,      MATEL,   TAX2,   1,     0.8439,    0.0000, -1.727445e-04, -3.602685e-04, -1.727445e+01, -3.602685e+01,
    70,  EL1,      MATEL,   TAX2,   0,     0.8461,    0.0000, -1.738495e-04, -3.598015e-04, -1.738495e+01, -3.598015e+01,
