ConFemMat: ../DataExamples/E04/E4-01
Found specified element set: prop1
Found specified material: mat1 of type: RCBEAM
85, 2, eps 0.001723, kap 0.017000, N  -0.000000, M 0.215437, zt 0.101339, zc 0.200000
86, 2, eps 0.001752, kap 0.017200, N  -0.000000, M 0.215538, zt 0.101853, zc 0.200000
87, 2, eps 0.001781, kap 0.017400, N  -0.000000, M 0.215638, zt 0.102357, zc 0.200000
88, 2, eps 0.001810, kap 0.017600, N  -0.000000, M 0.215737, zt 0.102851, zc 0.200000
89, 2, eps 0.001839, kap 0.017800, N  -0.000000, M 0.215834, zt 0.103336, zc 0.200000
90, 2, eps 0.001869, kap 0.018000, N  -0.000000, M 0.215929, zt 0.103811, zc 0.200000
91, 2, eps 0.001898, kap 0.018200, N  -0.000000, M 0.216023, zt 0.104277, zc 0.200000
92, 2, eps 0.001927, kap 0.018400, N  -0.000000, M 0.216116, zt 0.104735, zc 0.200000
93, 2, eps 0.001956, kap 0.018600, N  -0.000000, M 0.216208, zt 0.105184, zc 0.200000
94, 2, eps 0.001986, kap 0.018800, N  -0.000000, M 0.216298, zt 0.105624, zc 0.200000
95, 2, eps 0.002015, kap 0.019000, N  -0.000000, M 0.216386, zt 0.106057, zc 0.200000
96, 2, eps 0.002044, kap 0.019200, N  -0.000000, M 0.216474, zt 0.106481, zc 0.200000
97, 2, eps 0.002074, kap 0.019400, N  -0.000000, M 0.216560, zt 0.106898, zc 0.200000
98, 2, eps 0.002103, kap 0.019600, N  -0.000000, M 0.216646, zt 0.107308, zc 0.200000
99, 2, eps 0.002133, kap 0.019800, N  -0.000000, M 0.216730, zt 0.107710, zc 0.200000
100, 2, eps 0.002162, kap 0.020000, N  -0.000000, M 0.216813, zt 0.108105, zc 0.200000
101, 2, eps 0.002192, kap 0.020200, N  -0.000000, M 0.216895, zt 0.108493, zc 0.200000
102, 2, eps 0.002221, kap 0.020400, N  -0.000000, M 0.216976, zt 0.108875, zc 0.200000
103, 2, eps 0.002251, kap 0.020600, N  -0.000000, M 0.217055, zt 0.109250, zc 0.200000
104, 2, eps 0.002280, kap 0.020800, N  -0.000000, M 0.217134, zt 0.109618, zc 0.200000
105, 2, eps 0.002310, kap 0.021000, N  -0.000000, M 0.217212, zt 0.109980, zc 0.200000
106, 2, eps 0.002339, kap 0.021200, N  -0.000000, M 0.217289, zt 0.110336, zc 0.200000
107, 2, eps 0.002369, kap 0.021400, N  -0.000000, M 0.217365, zt 0.110687, zc 0.200000
108, 2, eps 0.002398, kap 0.021600, N  -0.000000, M 0.217440, zt 0.111031, zc 0.200000
109, 2, eps 0.002428, kap 0.021800, N  -0.000000, M 0.217514, zt 0.111370, zc 0.200000
110, 2, eps 0.002457, kap 0.022000, N  -0.000000, M 0.217587, zt 0.111703, zc 0.200000
111, 2, eps 0.002487, kap 0.022200, N  -0.000000, M 0.217660, zt 0.112031, zc 0.200000
112, 2, eps 0.002517, kap 0.022400, N  -0.000000, M 0.217731, zt 0.112353, zc 0.200000
113, 2, eps 0.002546, kap 0.022600, N  -0.000000, M 0.217802, zt 0.112670, zc 0.200000
114, 2, eps 0.002576, kap 0.022800, N  -0.000000, M 0.217872, zt 0.112982, zc 0.200000
115, 2, eps 0.002606, kap 0.023000, N  -0.000000, M 0.217941, zt 0.113290, zc 0.200000
116, 2, eps 0.002635, kap 0.023200, N  -0.000000, M 0.218009, zt 0.113592, zc 0.200000
117, 2, eps 0.002665, kap 0.023400, N  -0.000000, M 0.218077, zt 0.113890, zc 0.200000
118, 2, eps 0.002695, kap 0.023600, N  -0.000000, M 0.218144, zt 0.114183, zc 0.200000
119, 2, eps 0.002724, kap 0.023800, N  -0.000000, M 0.218210, zt 0.114471, zc 0.200000
120, 2, eps 0.002754, kap 0.024000, N  -0.000000, M 0.218275, zt 0.114755, zc 0.200000
121, 2, eps 0.002784, kap 0.024200, N  -0.000000, M 0.218340, zt 0.115035, zc 0.200000
122, 2, eps 0.002814, kap 0.024400, N  -0.000000, M 0.218404, zt 0.115310, zc 0.200000
123, 2, eps 0.002843, kap 0.024600, N  -0.000000, M 0.218467, zt 0.115581, zc 0.200000
124, 2, eps 0.002873, kap 0.024800, N  -0.000000, M 0.218530, zt 0.115849, zc 0.200000
125, 2, eps 0.002903, kap 0.025000, N  -0.000000, M 0.218592, zt 0.116112, zc 0.200000
126, 2, eps 0.002933, kap 0.025200, N  -0.000000, M 0.218653, zt 0.116371, zc 0.200000
127, 2, eps 0.002962, kap 0.025400, N  -0.000000, M 0.218714, zt 0.116626, zc 0.200000
128, 2, eps 0.002992, kap 0.025600, N  -0.000000, M 0.218774, zt 0.116878, zc 0.200000
129, 2, eps 0.003022, kap 0.025800, N  -0.000000, M 0.218833, zt 0.117126, zc 0.200000
130, 2, eps 0.003052, kap 0.026000, N  -0.000000, M 0.218892, zt 0.117370, zc 0.200000
131, 2, eps 0.003081, kap 0.026200, N  -0.000000, M 0.218950, zt 0.117611, zc 0.200000
132, 2, eps 0.003111, kap 0.026400, N  -0.000000, M 0.219008, zt 0.117848, zc 0.200000
133, 2, eps 0.003141, kap 0.026600, N  -0.000000, M 0.219065, zt 0.118081, zc 0.200000
134, 1, eps 0.003171, kap 0.026800, N  -0.000009, M 0.219123, zt 0.118311, zc 0.200000
135, 1, eps 0.003201, kap 0.027000, N  -0.000008, M 0.219178, zt 0.118538, zc 0.200000
136, 1, eps 0.003230, kap 0.027200, N  -0.000007, M 0.219233, zt 0.118762, zc 0.200000
