   115,    4.496,    0.384,    2.354,  -2.4632e+01, EL3
   119,    6.546,    0.390,    3.340,  -2.4538e+01, EL3
   119,    6.287,    0.389,    3.216,  -2.4516e+01, EL3
   470,   17.592,   18.934,    1.609,  -2.4458e+01, EL1
   404,    2.126,    1.085,    1.490,  -2.4395e+01, EL1
   185,    0.821,    0.965,    0.854,  -2.4337e+01, EL1
   115,    4.755,    0.385,    2.478,  -2.4304e+01, EL3
   404,    2.395,    1.081,    1.609,  -2.4150e+01, EL1
    15,   15.216,   19.897,    2.419,  -2.3932e+01, EL3
    15,   15.473,   19.897,    2.292,  -2.3683e+01, EL3
    20,   13.006,   19.609,    3.556,  -2.3521e+01, EL3
    20,   13.264,   19.610,    3.431,  -2.3502e+01, EL3
    16,   15.057,   19.614,    2.570,  -2.3180e+01, EL3
   120,    6.994,    0.391,    3.556,  -2.3058e+01, EL3
   120,    6.735,    0.390,    3.431,  -2.3032e+01, EL3
   182,   19.492,   18.859,    0.796,  -2.2934e+01, EL1
   421,   18.810,   18.893,    1.083,  -2.2933e+01, EL1
    16,   14.798,   19.614,    2.694,  -2.2882e+01, EL3
   115,    4.527,    0.103,    2.292,  -2.2624e+01, EL3
   205,    2.668,    0.591,    1.551,  -2.2593e+01, EL1
   205,    2.930,    0.590,    1.674,  -2.2587e+01, EL1
    95,    0.329,    0.733,    0.519,  -2.2528e+01, EL3
   267,   17.066,   19.414,    1.674,  -2.2525e+01, EL1
   267,   17.325,   19.417,    1.552,  -2.2516e+01, EL1
    28,    9.681,   19.606,    5.153,  -2.2503e+01, EL3
   469,   17.401,   18.931,    1.695,  -2.2501e+01, EL1
   403,    2.591,    1.079,    1.695,  -2.2482e+01, EL1
   128,   10.318,    0.394,    5.153,  -2.2469e+01, EL3
   267,   17.108,   19.133,    1.754,  -2.2459e+01, EL1
   267,   17.368,   19.136,    1.635,  -2.2448e+01, EL1
   469,   17.141,   18.927,    1.813,  -2.2429e+01, EL1
